Applicant ID,Credit 
,Income (INR),Employment Status,Debt-to-Income Ratio,Credit Utilization (%),Existing Debts (INR),Payment History (Late Payments),Residential Stability (Years),Age,Bankruptcy (Yes/No),Total Credit Limit (INR)
AP0367,507,2047162,Self-employed,0.62,70,1635361,10,13,55,No,217343
AP0368,322,2208096,Unemployed,0.8,20,546497,6,14,25,No,420709
AP0369,554,2098002,Employed,0.97,83,979484,7,4,48,Yes,498260
AP0370,397,2645218,Self-employed,0.41,43,744669,3,7,35,Yes,330981
AP0371,327,2763208,Employed,0.53,58,152973,4,10,60,Yes,183319
AP0372,611,1594560,Unemployed,0.12,16,1858758,6,20,30,No,330976
AP0373,340,985139,Unemployed,0.28,31,581491,9,5,50,No,330716
AP0374,689,1609581,Employed,0.84,35,1818648,8,10,63,No,486966
AP0375,383,391847,Self-employed,0.24,79,573383,3,2,20,Yes,97055
AP0376,522,757886,Self-employed,0.32,0,1649119,4,14,61,No,127761
AP0377,305,1913843,Unemployed,0.2,12,40517,6,10,52,No,280432
AP0378,612,1081014,Self-employed,0.67,92,819246,2,5,56,No,357258
AP0379,638,1456312,Unemployed,0.3,18,1265260,10,16,51,No,322402
AP0380,596,446907,Self-employed,0.06,57,861991,8,8,24,Yes,247029
AP0381,569,1065093,Employed,0.79,75,1869167,1,10,63,No,112969
AP0382,395,2377541,Unemployed,0.64,10,241247,8,11,23,No,172611
AP0383,780,1607076,Unemployed,0.7,69,713286,8,2,36,Yes,67299
AP0384,567,2826261,Employed,0.36,58,554361,5,14,49,Yes,52754
AP0385,644,411296,Employed,0.97,94,688343,4,15,37,No,466368
AP0386,629,2172517,Self-employed,0.76,82,1346803,5,11,62,Yes,182480
AP0387,479,2189965,Self-employed,0.5,94,730293,5,12,64,Yes,350673
AP0388,690,934756,Employed,0.01,19,579296,6,20,22,Yes,211320
AP0389,785,2620798,Employed,0.95,56,683508,5,16,20,No,248088
AP0390,765,2553547,Self-employed,0.74,51,155867,9,9,61,Yes,58534
AP0391,419,1736736,Self-employed,0.61,2,905772,10,16,18,Yes,210380
AP0392,307,2291166,Self-employed,0.99,2,463926,7,16,48,No,422235
AP0393,738,652009,Unemployed,0.29,100,1081218,3,15,25,Yes,313342
AP0394,712,1135892,Self-employed,0.88,80,1216382,4,14,60,No,239857
AP0395,662,851979,Unemployed,0.62,59,1481784,10,18,31,No,221864
AP0396,469,338645,Employed,0.62,70,1330716,1,13,39,No,463482
AP0397,751,1994238,Employed,0.62,71,1762574,7,1,33,No,153159
AP0398,409,1958015,Employed,0.61,56,134066,3,18,20,No,303498
AP0399,812,1371312,Self-employed,0.5,87,1662411,9,18,56,Yes,414138
AP0400,790,1357824,Self-employed,0.2,33,603301,3,7,30,No,221558
AP0401,661,909011,Employed,0.7,20,1811995,5,6,40,Yes,307506
AP0402,610,537252,Self-employed,0.92,1,1698907,4,11,59,No,246347
AP0403,584,2421946,Self-employed,0.28,74,529836,1,2,33,Yes,463816
AP0404,650,2170549,Unemployed,0.31,50,482922,1,14,49,No,271537
AP0405,695,2732336,Employed,0.13,12,1441358,8,14,63,Yes,301008
AP0406,321,2746627,Employed,0.11,89,593439,3,4,54,Yes,352065
AP0407,481,1644972,Self-employed,0.42,43,1622752,9,4,43,No,394820
AP0408,321,2945375,Employed,0.89,37,1704018,7,7,19,No,196262
AP0409,610,1666747,Unemployed,0.96,73,1251003,10,6,52,No,275497
AP0410,819,1919007,Employed,0.92,31,336458,7,5,31,No,89674
AP0411,622,1940671,Employed,0.03,26,1825805,3,17,21,No,177867
AP0412,343,961562,Unemployed,0.01,67,656612,8,17,46,Yes,363131
AP0413,802,2217975,Self-employed,0.97,16,509316,6,15,52,No,424548
AP0414,671,2631738,Employed,0.03,83,785945,3,15,59,Yes,431311
AP0415,666,2814670,Employed,0.84,74,1403980,2,16,48,No,146863
AP0416,672,966496,Unemployed,0.51,57,179569,2,1,53,No,469235
AP0417,844,851660,Employed,0.88,39,1599689,9,17,29,Yes,372588
AP0418,776,1529285,Employed,0.42,87,880704,6,8,40,No,456908
AP0419,460,399762,Self-employed,0.75,52,966729,4,4,27,Yes,415144
AP0420,722,747657,Self-employed,0.09,16,663000,5,18,57,Yes,131221
AP0421,545,1807208,Self-employed,0.56,28,1120257,4,12,48,Yes,105863
AP0422,314,1631982,Self-employed,0.49,70,966579,0,14,25,Yes,347826
AP0423,669,648837,Employed,0.05,77,1445920,10,19,64,No,389028
AP0424,708,2550202,Unemployed,0.11,92,773118,4,19,24,No,391260
AP0425,436,1745134,Self-employed,0.54,84,97266,9,19,21,Yes,338012
AP0426,619,1126769,Self-employed,0.35,46,1649029,5,7,56,No,180225
AP0427,484,1150590,Self-employed,0.23,71,943685,4,3,63,No,419753
AP0428,661,359067,Self-employed,0.12,65,603599,6,14,33,No,394456
AP0429,334,2491847,Self-employed,0.47,92,1162369,10,1,58,No,189907
AP0430,368,1458388,Employed,0.78,38,680711,5,4,37,No,401341
AP0431,463,2514178,Unemployed,0.19,72,73584,5,14,23,Yes,340502
AP0432,558,1721763,Self-employed,0.93,49,801893,2,7,37,Yes,475789
AP0433,534,2315556,Self-employed,0.17,87,521547,8,19,32,Yes,238738
AP0434,300,1273967,Employed,0.92,42,442001,7,10,57,No,352813
AP0435,356,218556,Self-employed,0.77,87,1925576,4,1,26,No,216686
AP0436,743,2214501,Self-employed,0.68,22,779037,4,20,54,No,393970
AP0437,839,1609689,Self-employed,0.05,83,865804,9,6,59,Yes,288372
AP0438,322,2622784,Unemployed,0.98,30,337040,0,16,27,Yes,310927
AP0439,540,1031453,Unemployed,0.1,4,582241,7,5,22,No,443231
AP0440,575,1266901,Employed,0.92,57,1344293,5,11,29,No,91677
AP0441,495,1772979,Employed,0.04,70,1403135,10,1,29,No,321336
AP0442,798,1261862,Employed,0.66,52,1550475,0,12,65,Yes,341716
AP0443,705,1092114,Unemployed,0.62,58,208849,4,17,52,Yes,145482
AP0444,634,1183619,Self-employed,0.68,26,1127342,8,16,53,Yes,179699
AP0445,303,414888,Employed,0.58,78,67035,1,12,23,No,252956
AP0446,448,1648103,Self-employed,0.8,34,70289,8,5,24,No,280769
AP0447,492,1354454,Unemployed,0.94,90,633962,10,8,64,No,204337
AP0448,675,1192558,Employed,0.28,59,288144,8,3,45,Yes,348344
AP0449,825,1221619,Employed,0.22,79,1414753,4,8,58,No,489770
AP0450,673,2498519,Unemployed,0.62,88,881933,9,11,56,Yes,217881
AP0451,734,1615797,Employed,0.21,5,718236,2,1,39,No,232837
AP0452,526,2421879,Unemployed,0.26,21,922871,6,8,39,No,131192
AP0453,493,2968281,Self-employed,0.72,17,483841,9,14,54,No,472604
AP0454,333,2950286,Employed,0.54,89,1789901,5,4,65,Yes,323865
AP0455,389,2072731,Unemployed,0.26,52,374686,2,3,61,Yes,314802
AP0456,433,1918599,Employed,0.73,71,1970973,2,7,63,No,468482
AP0457,800,2622940,Employed,0.86,3,985084,7,9,56,Yes,123629
AP0458,440,1023914,Self-employed,0.92,10,778050,4,19,54,Yes,383652
AP0459,440,1799313,Employed,0.34,38,309040,1,19,36,Yes,286983
AP0460,465,1789626,Self-employed,0.13,19,539559,7,14,63,Yes,400555
AP0461,477,2472217,Unemployed,0.3,58,1648108,2,14,30,No,379796
AP0462,494,711001,Employed,0.75,86,872190,10,13,18,Yes,109379
AP0463,527,2143878,Unemployed,0.66,44,1884554,7,15,34,No,471786
AP0464,392,1164036,Employed,0.83,28,909479,10,7,61,No,245194
AP0465,426,2542748,Self-employed,0.96,41,1237131,5,13,60,No,122715
AP0466,447,943373,Unemployed,0.14,16,1284851,7,1,18,Yes,355438
AP0467,798,204976,Self-employed,0.03,8,1375238,0,19,30,Yes,424602
AP0468,583,2027568,Unemployed,0.46,32,856725,4,13,28,Yes,230971
AP0469,794,1336316,Self-employed,0.62,78,1800046,4,17,65,Yes,154371
AP0470,590,1486067,Unemployed,0.38,2,642024,7,14,63,No,213218
AP0471,516,924047,Employed,0.72,57,138283,9,9,31,No,441168
AP0472,499,698151,Self-employed,0.21,24,415477,9,4,63,No,275856
AP0473,381,2018567,Employed,0.49,89,1099553,10,14,22,Yes,327049
AP0474,769,669720,Unemployed,0.86,7,223111,3,18,35,No,325333
AP0475,563,2048994,Employed,0.14,20,1719535,5,1,22,No,190657
AP0476,310,540988,Unemployed,0.81,70,788881,2,4,55,No,451767
AP0477,718,1582769,Employed,0.73,3,555059,4,3,39,Yes,451347
AP0478,588,2959879,Self-employed,0.84,0,782148,6,7,40,No,334354
AP0479,642,676428,Self-employed,0.73,91,1382730,7,5,22,No,448049
AP0480,380,2900737,Unemployed,0.5,31,739846,0,2,39,Yes,82954
AP0481,399,2011595,Employed,0.27,21,287285,3,9,49,Yes,280702
AP0482,658,2153491,Employed,0.88,43,628021,10,1,44,No,464677
AP0483,541,2174463,Self-employed,0.77,81,1371745,1,14,42,Yes,299680
AP0484,843,2130361,Employed,0.2,73,1978017,0,10,33,Yes,392035
AP0485,319,2079281,Unemployed,0.78,12,1862984,8,7,46,Yes,284615
AP0486,745,1669259,Unemployed,0.79,92,642741,9,4,42,Yes,165953
AP0487,374,871811,Self-employed,0.07,87,1763949,3,2,32,No,268157
AP0488,422,2137909,Self-employed,0.27,16,1155917,7,8,57,No,407710
AP0489,725,1425515,Self-employed,0.03,58,161029,8,2,53,No,455375
AP0490,684,2524446,Unemployed,0.74,6,478022,1,5,57,No,187272
AP0491,430,421844,Self-employed,0.98,11,1691832,5,11,53,No,413095
AP0492,756,1781308,Employed,0.46,44,590291,7,10,35,No,98505
AP0493,443,1136504,Employed,0.62,35,1821511,10,17,19,No,230864
AP0494,523,723620,Unemployed,0.39,63,1670457,10,11,40,Yes,405719
AP0495,842,1005142,Employed,0.19,97,873847,9,14,48,Yes,161026
AP0496,388,2528632,Unemployed,0.28,83,1352800,9,1,37,Yes,173591
AP0497,609,2896743,Employed,0.18,26,438119,0,10,29,Yes,223193
AP0498,618,2493009,Unemployed,0.52,80,365013,9,4,62,No,317421
AP0499,428,2203459,Unemployed,0.88,24,172757,4,17,40,No,444029
AP0500,609,462025,Self-employed,0.03,94,972463,6,9,42,Yes,100837
AP0501,414,1053155,Unemployed,0.07,43,504095,9,11,60,No,176776
AP0502,820,2217280,Unemployed,0.5,40,296224,9,17,22,No,445830
AP0503,305,1266210,Employed,0.66,26,526349,4,3,20,No,344157
AP0504,301,1462419,Unemployed,0.82,38,1753807,0,11,52,Yes,448887
AP0505,353,1922962,Unemployed,0.12,94,1428498,10,18,43,No,255670
AP0506,592,2060782,Employed,0.7,0,1103854,5,2,32,Yes,182497
AP0507,438,642221,Employed,0.44,16,628345,10,17,36,No,495803
AP0508,722,990952,Unemployed,0.27,32,198155,7,9,50,Yes,372404
AP0509,670,1180045,Unemployed,0.01,70,1128795,5,5,38,No,236405
AP0510,699,729011,Unemployed,0.09,33,1351308,1,18,62,No,168972
AP0511,310,2799659,Employed,0.95,8,1183796,5,3,26,No,56481
AP0512,440,1958209,Employed,0.25,54,624577,2,3,35,No,151752
AP0513,349,1889426,Self-employed,0.07,62,783769,9,14,39,Yes,242286
AP0514,651,990513,Unemployed,0.86,95,49018,4,10,29,Yes,172697
AP0515,401,1543689,Self-employed,0.02,78,1372081,4,11,36,Yes,396587
AP0516,345,499484,Employed,0.03,23,432626,4,4,49,Yes,425678
AP0517,621,2525816,Unemployed,0.86,24,1982291,6,9,50,Yes,233637
AP0518,618,2966576,Employed,0.24,62,232923,2,9,37,No,168174
AP0519,698,1427529,Self-employed,0.9,91,1028377,9,17,58,Yes,89528
AP0520,598,2771632,Self-employed,0.31,16,1710977,2,20,64,Yes,61877
AP0521,759,268337,Unemployed,0.38,2,407560,4,13,46,No,101519
AP0522,492,1985743,Unemployed,0.0,98,1323266,2,3,29,Yes,262375
AP0523,478,372514,Self-employed,0.97,8,1193241,3,14,55,No,346684
AP0524,411,403525,Self-employed,0.03,13,246225,9,19,35,No,415467
AP0525,737,2200806,Self-employed,0.72,45,1487383,9,1,50,Yes,207178
AP0526,458,2431054,Unemployed,0.56,10,669753,8,3,29,No,464775
AP0527,698,1924074,Unemployed,0.0,85,1247158,8,7,41,No,476293
AP0528,540,456803,Unemployed,0.21,97,726537,3,7,46,Yes,153579
AP0529,583,1701049,Unemployed,0.42,82,689652,3,9,38,No,329203
AP0530,536,2716843,Unemployed,0.27,12,1418463,8,10,26,No,134260
AP0531,744,2448245,Employed,0.56,57,1589906,4,3,30,No,382284
AP0532,805,368892,Self-employed,0.11,36,901920,4,9,59,No,120220
AP0533,560,2442399,Unemployed,0.31,89,203333,9,17,46,No,458628
AP0534,725,2099559,Employed,0.63,86,1806872,2,15,21,Yes,245106
AP0535,753,259081,Self-employed,0.02,85,232452,8,18,35,Yes,161785
AP0536,348,1391506,Employed,0.96,16,1707000,5,12,62,Yes,168327
AP0537,837,1125928,Self-employed,0.05,13,1794776,10,7,48,No,301730
AP0538,510,2349362,Employed,0.56,3,855912,9,6,51,No,229906
AP0539,804,2152197,Unemployed,0.65,69,123575,3,14,60,No,246171
AP0540,578,591289,Unemployed,0.11,84,1932119,5,20,46,Yes,333806
AP0541,306,899453,Unemployed,0.79,23,26439,3,1,46,Yes,269851
AP0542,420,1758867,Self-employed,0.32,55,1461335,2,20,24,Yes,428098
AP0543,784,903625,Unemployed,0.24,91,1307072,10,7,19,No,423962
AP0544,332,2503040,Unemployed,0.4,56,1536099,8,6,60,No,93771
AP0545,360,1209306,Unemployed,0.69,30,1504549,10,1,57,Yes,421037
AP0546,556,910949,Self-employed,0.28,86,422451,3,14,38,No,287442
AP0547,378,1011401,Unemployed,0.77,54,653482,6,17,65,No,488262
AP0548,782,2963175,Unemployed,0.64,78,41266,5,9,37,Yes,474044
AP0549,420,1107617,Employed,0.65,65,1968044,3,8,36,Yes,453890
AP0550,742,957305,Employed,0.49,24,45220,7,8,37,Yes,206143
AP0551,401,2412129,Employed,0.54,24,766188,10,6,45,No,435627
AP0552,395,2722389,Employed,0.93,81,980080,0,20,42,No,68971
AP0553,511,1544673,Unemployed,0.64,95,1055206,3,19,33,No,68585
AP0554,369,1287745,Self-employed,0.85,8,1205682,7,16,48,Yes,302953
AP0555,690,819638,Employed,0.74,2,1158824,1,20,20,No,389922
AP0556,609,675083,Self-employed,0.7,15,1152543,6,12,49,No,424275
AP0557,835,798020,Employed,0.81,23,328418,5,8,37,No,308552
AP0558,411,507328,Employed,0.86,16,1086307,10,14,49,No,344128
AP0559,314,226330,Self-employed,0.44,8,1586355,3,11,37,No,156161
AP0560,662,2045010,Self-employed,0.21,71,1965802,10,15,22,No,298586
AP0561,510,964887,Self-employed,0.78,52,99919,7,10,52,Yes,205786
AP0562,361,380038,Self-employed,0.2,94,390598,9,5,62,No,89548
AP0563,447,2744676,Employed,0.13,29,1394716,7,9,58,Yes,185499
AP0564,529,2475577,Unemployed,0.08,88,1332398,4,10,55,No,90312
AP0565,482,1825554,Unemployed,0.34,41,1395158,6,15,61,No,109292
AP0566,639,1850883,Self-employed,0.02,100,1508687,4,5,21,No,412568
AP0567,522,2477588,Self-employed,0.13,17,1256431,7,6,56,Yes,172402
AP0568,482,799501,Self-employed,0.86,94,1929987,8,2,33,No,467313
AP0569,820,2440965,Employed,0.19,86,1429503,7,4,22,Yes,98850
AP0570,718,1419450,Self-employed,0.41,65,1886556,10,15,24,No,482595
AP0571,549,1808889,Self-employed,0.66,18,1094274,4,14,47,Yes,73513
AP0572,511,2686634,Unemployed,0.73,0,1494411,3,1,64,Yes,165020
AP0573,690,2503163,Self-employed,0.63,79,1570313,7,14,53,Yes,192032
AP0574,521,1095276,Self-employed,0.94,96,643899,6,13,61,No,235607
AP0575,629,1444759,Self-employed,0.25,52,1413928,8,11,55,No,419262
AP0576,622,2198062,Unemployed,0.3,81,166768,1,15,32,Yes,489532
AP0577,323,1379454,Self-employed,0.25,77,451072,8,2,36,No,232364
AP0578,537,659074,Employed,0.57,40,358248,5,8,59,Yes,111849
AP0579,836,1140766,Employed,0.79,32,924088,7,13,52,Yes,347163
AP0580,777,2500410,Self-employed,0.77,1,1484383,3,20,53,Yes,300364
AP0581,805,1237865,Self-employed,0.5,91,729728,5,6,35,Yes,428420
AP0582,752,2907952,Self-employed,0.07,71,139293,10,9,34,No,464324
AP0583,543,2364992,Unemployed,0.1,24,1860087,3,11,26,Yes,175571
AP0584,612,2685347,Unemployed,0.39,9,52729,10,16,50,No,497812
AP0585,342,2491132,Unemployed,0.18,6,364825,4,3,42,No,326530
AP0586,635,2961193,Employed,0.65,16,1814049,5,7,25,No,472973
AP0587,830,2404579,Self-employed,0.57,58,1207426,1,9,35,No,231856
AP0588,549,1585686,Employed,0.24,84,174190,4,9,65,No,224817
AP0589,381,862126,Employed,0.26,97,585458,4,15,43,No,362333
AP0590,418,2233350,Unemployed,0.85,16,1957277,1,4,49,No,477994
AP0591,341,507353,Self-employed,0.62,20,1194461,1,4,34,Yes,347376
AP0592,646,1152759,Unemployed,0.58,0,709978,9,4,47,Yes,392273
AP0593,306,2400672,Unemployed,0.48,67,1824120,5,18,64,Yes,263107
AP0594,703,2419982,Unemployed,0.35,42,364626,3,3,30,No,409387
AP0595,682,1907661,Employed,0.16,8,1336817,8,11,42,No,423606
AP0596,341,2367838,Employed,0.17,23,235808,0,6,36,Yes,371734
AP0597,316,1550895,Employed,0.31,56,564663,4,17,36,No,273896
AP0598,380,202832,Employed,0.98,99,1140662,6,19,55,No,111350
AP0599,366,1082594,Employed,0.78,15,528177,8,8,36,No,484934
AP0600,696,2502446,Employed,0.31,60,1275212,3,20,43,Yes,158634
AP0601,709,2743572,Self-employed,0.85,48,1124782,2,7,37,Yes,225633
AP0602,804,2029444,Employed,0.83,28,1056641,5,15,55,Yes,275553
AP0603,397,333517,Employed,0.44,82,435829,0,14,27,No,65148
AP0604,670,1979197,Self-employed,0.71,45,727971,7,1,24,No,268787
AP0605,669,1989695,Employed,1.0,90,228113,4,11,50,No,443099
AP0606,428,2518419,Unemployed,0.45,33,1893557,9,7,25,No,435804
AP0607,463,2954448,Self-employed,0.72,59,436097,2,20,53,Yes,374193
AP0608,849,526394,Unemployed,0.33,49,1317056,6,1,34,Yes,311371
AP0609,560,2217738,Self-employed,0.5,28,54482,1,12,62,No,168035
AP0610,831,2694531,Unemployed,0.73,9,846916,8,11,30,Yes,256118
AP0611,531,1333648,Unemployed,0.69,76,134723,0,19,32,No,92915
AP0612,509,1173560,Self-employed,0.75,8,1383021,9,14,53,No,320583
AP0613,533,2269417,Unemployed,0.75,62,1600009,5,3,48,Yes,272671
AP0614,344,229180,Unemployed,0.89,96,1259190,10,1,38,Yes,368490
AP0615,454,730472,Employed,0.03,19,1617744,9,15,32,No,208204
AP0616,566,372801,Unemployed,0.98,97,1126840,6,1,27,No,401212
AP0617,757,2761921,Unemployed,0.74,38,384749,7,15,19,No,264258
AP0618,481,2676313,Self-employed,0.11,85,792352,1,2,25,Yes,329870
AP0619,343,2490529,Unemployed,0.47,74,1796835,0,7,43,Yes,314542
AP0620,466,2326835,Employed,0.83,79,1192165,7,18,65,No,320872
AP0621,378,565758,Self-employed,0.34,45,549775,10,6,48,No,264279
AP0622,390,2346121,Self-employed,0.87,98,1734179,0,8,50,No,72615
AP0623,553,1375890,Employed,0.12,41,1230003,3,8,21,No,268125
AP0624,602,1881697,Self-employed,0.71,99,482220,2,15,59,No,414352
AP0625,633,1193344,Unemployed,0.51,51,870285,0,4,25,Yes,106674
AP0626,695,2422910,Employed,0.93,33,154040,4,18,54,Yes,459569
AP0627,590,1942984,Self-employed,0.57,9,522973,8,20,33,Yes,427846
AP0628,477,2434751,Employed,0.73,59,185148,7,3,26,No,440852
AP0629,354,211008,Unemployed,0.97,90,1726020,3,15,35,No,228708
AP0630,619,991657,Employed,0.75,80,792183,0,12,23,Yes,492556
AP0631,720,279656,Employed,0.11,1,1765571,7,8,57,No,203951
AP0632,526,1733991,Self-employed,0.06,60,150678,4,2,50,No,144663
AP0633,333,2044696,Unemployed,0.22,47,1242403,0,20,62,Yes,190724
AP0634,404,770382,Employed,0.77,57,1088247,4,5,63,Yes,97292
AP0635,362,279741,Unemployed,0.45,29,776110,7,13,22,Yes,317004
AP0636,831,1692125,Self-employed,0.18,58,843539,5,18,59,No,395362
AP0637,357,2540849,Self-employed,0.74,96,800935,0,12,62,No,473362
AP0638,748,2880452,Self-employed,0.38,49,29076,3,3,62,No,310995
AP0639,714,1102160,Self-employed,0.25,80,1902681,3,19,39,No,160371
AP0640,465,2406216,Unemployed,0.99,70,182085,3,11,55,Yes,346117
AP0641,814,1810236,Self-employed,0.46,66,674871,10,6,43,No,260328
AP0642,686,2960205,Employed,0.85,22,1643121,1,15,62,Yes,297195
AP0643,559,712996,Employed,0.88,62,497113,10,17,18,Yes,140610
AP0644,491,2125478,Employed,0.78,79,352927,4,14,54,No,220626
AP0645,613,1215326,Employed,0.6,88,214100,7,3,18,Yes,473180
AP0646,388,1416140,Self-employed,0.04,33,889958,5,16,36,No,152284
AP0647,765,1199697,Employed,0.74,79,856468,9,1,39,Yes,179355
AP0648,582,1829306,Employed,0.71,44,1453222,8,4,18,Yes,392674
AP0649,629,1337007,Employed,0.51,10,587121,6,6,36,No,88371
AP0650,483,2480856,Unemployed,0.16,40,512698,10,9,20,Yes,151062
AP0651,470,649717,Unemployed,0.94,61,1957562,10,10,57,No,194277
AP0652,800,2953892,Unemployed,0.05,74,451420,5,20,56,Yes,490683
AP0653,399,2089952,Employed,0.3,91,923928,2,12,18,No,496812
AP0654,690,242265,Employed,0.26,4,108035,0,5,32,Yes,111802
AP0655,614,1229929,Employed,0.85,19,1554589,7,12,61,No,122584
AP0656,476,895118,Employed,0.05,98,91432,6,14,20,Yes,125783
AP0657,425,1873275,Unemployed,0.59,37,1765586,6,7,25,No,222857
AP0658,569,2846487,Unemployed,0.51,61,1397615,7,20,34,No,119905
AP0659,631,1215791,Employed,0.67,68,142365,3,2,33,Yes,91856
AP0660,327,2922177,Unemployed,0.03,33,1406803,4,15,64,Yes,298372
AP0661,762,1174913,Unemployed,0.52,78,519729,8,9,46,No,264930
AP0662,418,768585,Self-employed,0.94,29,468279,8,14,48,No,142148
AP0663,847,1481311,Unemployed,0.08,13,1693414,8,15,48,No,110452
AP0664,713,975534,Unemployed,0.94,56,1755288,1,10,55,No,145383
AP0665,675,507638,Unemployed,0.32,90,1567107,3,12,44,No,94298
AP0666,703,720031,Unemployed,0.98,83,1224511,0,15,40,Yes,365333
AP0667,556,2241815,Employed,0.62,42,1784407,9,15,56,No,167702
AP0668,402,1375934,Self-employed,0.3,75,582914,4,14,29,Yes,257266
AP0669,716,903272,Employed,0.54,77,333045,7,10,42,No,170825
AP0670,760,2087896,Employed,1.0,53,645302,8,4,44,Yes,324078
AP0671,333,1919591,Unemployed,0.59,90,328752,7,18,27,Yes,308251
AP0672,803,1228796,Unemployed,0.9,35,1395799,6,5,23,No,385835
AP0673,765,555116,Unemployed,0.43,93,54650,3,19,29,Yes,200280
AP0674,404,754582,Employed,0.97,27,129167,2,4,36,No,367409
AP0675,579,2304220,Employed,0.8,36,388974,0,14,65,Yes,143372
AP0676,310,2568687,Employed,0.19,54,161753,3,10,36,Yes,302576
AP0677,794,1130914,Self-employed,0.79,75,979975,3,1,51,No,253109
AP0678,821,338045,Employed,0.11,92,1160660,7,4,23,Yes,333349
AP0679,617,400074,Self-employed,0.98,93,378633,6,14,20,Yes,479943
AP0680,468,2585792,Self-employed,0.41,6,1828379,1,10,36,No,458807
AP0681,450,2601759,Unemployed,0.33,18,1281870,4,2,47,No,228880
AP0682,327,2489498,Unemployed,0.6,62,67693,7,12,63,No,187158
AP0683,500,1546950,Unemployed,0.98,47,1458370,7,1,59,No,374389
AP0684,605,283358,Self-employed,0.83,7,474531,5,18,49,No,421261
AP0685,793,2392394,Employed,0.63,57,1480428,9,13,59,No,430844
AP0686,656,1501684,Employed,0.56,59,376638,4,3,30,Yes,474456
AP0687,765,340785,Unemployed,0.83,21,870128,1,11,19,Yes,340105
AP0688,679,2812895,Employed,0.58,97,1852421,3,14,37,No,485560
AP0689,712,2250759,Self-employed,0.49,79,30322,5,14,23,Yes,254188
AP0690,499,2349141,Self-employed,0.08,76,1557015,5,16,44,Yes,469404
AP0691,542,2889467,Self-employed,0.11,78,696579,1,6,63,No,146183
AP0692,821,296711,Unemployed,0.25,25,416912,6,19,19,Yes,106376
AP0693,668,2777383,Unemployed,0.49,93,22720,5,20,63,No,186331
AP0694,537,2687145,Self-employed,0.99,35,787391,2,14,63,Yes,204842
AP0695,470,2534160,Unemployed,0.73,37,1175064,9,13,27,No,292510
AP0696,737,1895932,Self-employed,0.02,27,1285616,8,11,58,Yes,322339
AP0697,604,1281857,Self-employed,0.33,41,36004,9,12,49,No,171950
AP0698,733,2046082,Employed,0.97,68,48721,5,19,33,Yes,168474
AP0699,395,474662,Employed,0.76,92,1632010,7,7,34,Yes,381569
AP0700,549,807127,Self-employed,0.71,82,797804,0,1,59,No,97300
AP0701,516,1378507,Employed,0.35,81,1712028,9,7,33,Yes,154298
AP0702,558,2993399,Self-employed,0.45,56,634206,5,3,31,No,113168
AP0703,644,1885151,Self-employed,0.38,67,42299,0,7,30,Yes,246752
AP0704,517,1760305,Self-employed,0.33,25,1993294,3,8,31,Yes,478477
AP0705,366,2513897,Unemployed,0.38,74,21717,5,14,25,Yes,85113
AP0706,403,2664317,Unemployed,0.1,57,958841,7,12,27,No,96157
AP0707,712,2993714,Unemployed,0.29,73,1715353,9,5,26,Yes,468177
AP0708,419,2223163,Unemployed,0.93,96,1196729,8,16,29,Yes,346203
AP0709,434,1447423,Employed,0.43,1,817805,7,4,40,No,435220
AP0710,718,2161928,Employed,0.44,76,241491,7,16,46,No,50061
AP0711,415,1206038,Unemployed,0.02,85,706851,5,11,56,No,135670
AP0712,637,376346,Self-employed,0.45,28,210742,3,17,23,No,332900
AP0713,334,2553590,Self-employed,0.55,36,281063,0,12,31,Yes,221113
AP0714,811,2557081,Employed,0.27,30,440708,1,16,64,Yes,204435
AP0715,375,2900343,Unemployed,0.09,32,811284,5,3,52,No,455207
AP0716,646,473782,Self-employed,0.02,45,1131598,7,20,24,Yes,461176
AP0717,644,584933,Employed,0.85,42,1780980,5,1,27,Yes,130807
AP0718,495,826089,Self-employed,0.18,33,1517283,1,13,60,Yes,284714
AP0719,832,1174005,Self-employed,0.47,0,1703658,5,4,49,No,184029
AP0720,405,1748418,Unemployed,0.03,47,1154549,2,1,39,Yes,384928
AP0721,364,707179,Unemployed,0.97,31,1937255,6,11,64,No,62446
AP0722,426,1548454,Unemployed,0.88,48,928182,1,5,43,No,226804
AP0723,434,1524162,Unemployed,0.09,1,1082861,4,11,48,Yes,353593
AP0724,520,2096233,Self-employed,0.81,55,1622070,5,19,60,No,316170
AP0725,486,2591371,Unemployed,0.88,3,1762024,9,17,39,Yes,64556
AP0726,481,272618,Self-employed,0.16,67,120927,0,6,54,No,121650
AP0727,806,2451151,Employed,0.53,53,156925,1,17,23,No,235094
AP0728,346,2393773,Employed,0.91,46,1135642,7,19,52,Yes,407256
AP0729,681,1779732,Self-employed,0.56,60,823147,4,7,26,Yes,58186
AP0730,553,2164309,Employed,0.6,35,1941322,7,7,26,No,479080
AP0731,335,2719185,Self-employed,0.85,71,489982,5,13,28,Yes,452076
AP0732,843,1257844,Self-employed,0.0,2,140914,9,11,47,Yes,420389
AP0733,848,1682393,Self-employed,0.98,70,1977352,9,3,47,No,305359
AP0734,750,444646,Employed,0.32,41,1658004,4,14,62,No,445881
AP0735,403,1858668,Unemployed,0.14,0,1493446,2,10,41,No,326156
AP0736,645,639630,Employed,0.12,92,1812831,4,7,21,No,441340
AP0737,678,2494157,Self-employed,0.14,30,231769,4,19,28,Yes,149120
